omega,Q,ki,kf,Ei,Ef,theta,Is,Im,T_self
-20.89999999999973,1.5,5.8,6.612623077118292,69.70269243254256,90.60269243254228,0.2039397597319461,2.695733459675655e-12,1.6878874871968275e-11,0.726354085338285
-20.799999999999727,1.5,5.8,6.608972827590282,69.70269243254256,90.50269243254229,0.20437704226288878,2.723850215476576e-12,1.7296912781004233e-11,0.7281912919370863
-20.699999999999726,1.5,5.8,6.605320560852137,69.70269243254256,90.4026924325423,0.20481241580602572,2.8877183445841666e-12,1.7159607986315268e-11,0.72843820754476
-20.599999999999724,1.5,5.8,6.601666273555889,69.70269243254256,90.30269243254229,0.20524588874712318,2.9228587472289744e-12,1.732714849898808e-11,0.7273555136277168
-20.499999999999723,1.5,5.8,6.598009962344295,69.70269243254256,90.20269243254228,0.20567746933236472,2.975964234696606e-12,1.6787474045201223e-11,0.7259280031391859
-20.39999999999972,1.5,5.8,6.594351623850814,69.70269243254256,90.10269243254228,0.20610716567049886,2.8717070774851987e-12,1.804964520457527e-11,0.7277192337114287
-20.29999999999972,1.5,5.8,6.5906912546995535,69.70269243254256,90.00269243254229,0.2065349857349304,2.935902072010945e-12,1.683626483599008e-11,0.7254196442973864
-20.19999999999972,1.5,5.8,6.5870288515052415,69.70269243254256,89.90269243254228,0.20696093736576904,3.1022647389706985e-12,1.7335116126697833e-11,0.7276147080316095
-20.099999999999717,1.5,5.8,6.583364410873193,69.70269243254256,89.80269243254227,0.2073850282718272,3.0243024062884206e-12,1.7421331667702254e-11,0.7256856849873843
-19.999999999999716,1.5,5.8,6.57969792939927,69.70269243254256,89.70269243254228,0.20780726603256963,3.1666756381227146e-12,1.7059465850458753e-11,0.7295142360987339
-19.899999999999714,1.5,5.8,6.576029403669843,69.70269243254256,89.60269243254228,0.20822765810002752,3.2425765009022255e-12,1.848925296122233e-11,0.7261319373347038
-19.799999999999713,1.5,5.8,6.572358830261752,69.70269243254256,89.50269243254228,0.20864621180066023,3.2716310820525242e-12,1.7381247449704742e-11,0.7280677905233957
-19.69999999999971,1.5,5.8,6.568686205742281,69.70269243254256,89.40269243254227,0.20906293433718004,3.18874733354404e-12,1.8226701134868855e-11,0.7262430611555073
-19.59999999999971,1.5,5.8,6.565011526669105,69.70269243254256,89.30269243254227,0.20947783279032842,3.3816900808364773e-12,1.9229338824914448e-11,0.7254408860646838
-19.49999999999971,1.5,5.8,6.561334789590263,69.70269243254256,89.20269243254228,0.20989091412062535,3.2826178862877515e-12,1.8953208379744903e-11,0.7274082281549492
-19.399999999999707,1.5,5.8,6.557655991044117,69.70269243254256,89.10269243254227,0.21030218517006394,3.478512857741568e-12,1.8351304421152414e-11,0.7279149050158155
-19.299999999999706,1.5,5.8,6.553975127559311,69.70269243254256,89.00269243254226,0.21071165266378028,3.5394830012189252e-12,1.9928135553837944e-11,0.7268131038174209
-19.199999999999704,1.5,5.8,6.550292195654739,69.70269243254256,88.90269243254227,0.2111193232116776,3.4225082596859925e-12,1.9715427183221053e-11,0.7270486861992334
-19.099999999999703,1.5,5.8,6.5466071918395015,69.70269243254256,88.80269243254227,0.21152520331001334,3.498236883297721e-12,1.8750420950910217e-11,0.7263461074562889
-18.9999999999997,1.5,5.8,6.542920112612867,69.70269243254256,88.70269243254226,0.21192929934295984,3.5320743694552666e-12,2.080274592377133e-11,0.7268829685326831
-18.8999999999997,1.5,5.8,6.539230954464237,69.70269243254256,88.60269243254226,0.21233161758412142,3.726341362346211e-12,1.9431432418107178e-11,0.7278556851042971
-18.7999999999997,1.5,5.8,6.535539713873106,69.70269243254256,88.50269243254226,0.21273216419802143,3.80523126210219e-12,1.921878324676455e-11,0.7265885882616756
-18.699999999999697,1.5,5.8,6.531846387309017,69.70269243254256,88.40269243254227,0.21313094524155887,3.7157981997128445e-12,2.0131128477627855e-11,0.7258779309213758
-18.599999999999696,1.5,5.8,6.528150971231528,69.70269243254256,88.30269243254226,0.2135279666654219,3.9211438043736575e-12,2.034239034028499e-11,0.7264385065980884
-18.499999999999694,1.5,5.8,6.5244534620901735,69.70269243254256,88.20269243254225,0.21392323431548915,3.824114306974026e-12,1.985378777976539e-11,0.7273765766748854
-18.399999999999693,1.5,5.8,6.520753856324416,69.70269243254256,88.10269243254226,0.21431675393418084,4.05039837792238e-12,2.0875663231238564e-11,0.7261636324552146
-18.29999999999969,1.5,5.8,6.517052150363616,69.70269243254256,88.00269243254226,0.21470853116179398,3.951048920060335e-12,1.9869029348908117e-11,0.7266461492224251
-18.19999999999969,1.5,5.8,6.513348340626987,69.70269243254256,87.90269243254225,0.21509857153779785,4.1837909887678135e-12,2.1053814834780876e-11,0.7269579982983542
-18.09999999999969,1.5,5.8,6.509642423523554,69.70269243254256,87.80269243254224,0.2154868805021142,4.073340075302717e-12,1.979153999168907e-11,0.7265424170903231
-17.999999999999687,1.5,5.8,6.505934395452117,69.70269243254256,87.70269243254225,0.21587346339635086,4.1361830736799425e-12,2.073722529884995e-11,0.7272610734543141
-17.899999999999686,1.5,5.8,6.502224252801207,69.70269243254256,87.60269243254226,0.2162583254650292,4.203237805055382e-12,2.208510958955076e-11,0.7263034066557078
-17.799999999999685,1.5,5.8,6.498511991949041,69.70269243254256,87.50269243254225,0.21664147185676902,4.457144609450616e-12,2.234573839319973e-11,0.7243887002102499
-17.699999999999683,1.5,5.8,6.494797609263493,69.70269243254256,87.40269243254224,0.21702290762545418,4.524417644761273e-12,2.204928922995397e-11,0.7264945269439487
-17.59999999999968,1.5,5.8,6.491081101102042,69.70269243254256,87.30269243254224,0.21740263773137572,4.591674378512963e-12,2.1257143219239295e-11,0.7265740081638572
-17.49999999999968,1.5,5.8,6.487362463811729,69.70269243254256,87.20269243254225,0.2177806670423404,4.659418410225839e-12,2.1890033125419646e-11,0.7258971613008044
-17.39999999999968,1.5,5.8,6.483641693729125,69.70269243254256,87.10269243254224,0.21815700033476393,4.767771823748654e-12,2.217192420651321e-11,0.7266857238008635
-17.299999999999677,1.5,5.8,6.4799187871802815,69.70269243254256,87.00269243254223,0.21853164229474017,4.838549954791213e-12,2.289004649752559e-11,0.7262260389712784
-17.199999999999676,1.5,5.8,6.476193740480689,69.70269243254256,86.90269243254224,0.21890459751908103,4.915302906078991e-12,2.0991217610045816e-11,0.7273631336753655
-17.099999999999675,1.5,5.8,6.472466549935237,69.70269243254256,86.80269243254224,0.21927587051633893,4.991302860285787e-12,2.357366114305299e-11,0.7269083071635476
-16.999999999999673,1.5,5.8,6.468737211838169,69.70269243254256,86.70269243254224,0.2196454657078078,4.914943777461781e-12,2.20753919880208e-11,0.7274770371512552
-16.89999999999967,1.5,5.8,6.465005722473038,69.70269243254256,86.60269243254223,0.22001338742849402,5.2055117322769715e-12,2.3346393225822127e-11,0.7258140004246812
-16.79999999999967,1.5,5.8,6.46127207811267,69.70269243254256,86.50269243254223,0.22037963992807982,5.247760966035727e-12,2.1789240287427654e-11,0.7267790104448172
-16.69999999999967,1.5,5.8,6.457536275019114,69.70269243254256,86.40269243254224,0.2207442273718528,5.202182161998247e-12,2.274184014783733e-11,0.7274346882594432
-16.599999999999667,1.5,5.8,6.453798309443596,69.70269243254256,86.30269243254223,0.22110715384162383,5.468057318077751e-12,2.29243575162355e-11,0.7265021300293952
-16.499999999999666,1.5,5.8,6.450058177626486,69.70269243254256,86.20269243254222,0.22146842333662253,5.428804300003827e-12,2.3129439111017187e-11,0.7272047208838823
-16.399999999999665,1.5,5.8,6.446315875797246,69.70269243254256,86.10269243254223,0.2218280397743676,5.575073892742082e-12,2.413486453395566e-11,0.7253417629456987
-16.299999999999663,1.5,5.8,6.442571400174383,69.70269243254256,86.00269243254223,0.22218600699153135,5.633287740922995e-12,2.2724332268970762e-11,0.7282923893759291
-16.199999999999662,1.5,5.8,6.438824746965412,69.70269243254256,85.90269243254222,0.2225423287447713,5.906215035483005e-12,2.3201876858607933e-11,0.7260077008234138
-16.09999999999966,1.5,5.8,6.435075912366806,69.70269243254256,85.80269243254222,0.2228970087115529,6.02567402253403e-12,2.4626021785533116e-11,0.7250244838425347
-15.999999999999659,1.5,5.8,6.431324892563955,69.70269243254256,85.70269243254222,0.22325005049094962,6.1361940625190355e-12,2.337022204082814e-11,0.7254978999708712
-15.899999999999658,1.5,5.8,6.427571683731117,69.70269243254256,85.60269243254223,0.22360145760442812,6.286375273260059e-12,2.4186415584297444e-11,0.7228923910066098
-15.799999999999656,1.5,5.8,6.423816282031373,69.70269243254256,85.50269243254222,0.22395123349661358,6.389265817152152e-12,2.371315375149456e-11,0.7259269224579459
-15.699999999999655,1.5,5.8,6.42005868361658,69.70269243254256,85.40269243254221,0.22429938153604467,6.402430872339705e-12,2.6119964791420714e-11,0.7259564521423015
-15.599999999999653,1.5,5.8,6.416298884627333,69.70269243254256,85.30269243254222,0.22464590501589846,6.656861125671018e-12,2.5091732863369114e-11,0.7247552821820067
-15.499999999999652,1.5,5.8,6.412536881192906,69.70269243254256,85.20269243254222,0.22499080715471698,6.770656148238934e-12,2.4924151421139837e-11,0.7262634530857233
-15.39999999999965,1.5,5.8,6.408772669431218,69.70269243254256,85.10269243254221,0.22533409109710664,6.91122687567901e-12,2.50377532396151e-11,0.7270160921676525
