Q,omega,I,dI,Tr,Ki,Kf,Im,I-Im,S,dS
0.5,10.5271,0.0061600000000000005,0.0009376583554415476,0.85,6.222588053035909,5.8,0.0026622473889559538,0.003079415034377507,0.004547870018770238,0.0012907477857271622
0.5,11.0107,0.006026666666666666,0.001019536376122761,0.85,6.241313780805143,5.8,0.00265416532752275,0.0029463649284897004,0.00436332414532848,0.0014030903670309404
0.5,11.4988,0.007699999999999999,0.0011288639110699644,0.85,6.260156957995594,5.8,0.002652384172387298,0.004481622259026435,0.00665208719774388,0.0015524121943102666
0.7,-15.0154,0.0033224778181350275,0.0006817662108111032,0.85,5.137436033788222,5.8,0.0012900604209422188,0.002460910144617047,0.0029805389532984385,0.0009322149958256933
0.7,-14.4804,0.0025651463096512312,0.0006402274032080317,0.85,5.1625043695664745,5.8,0.0013320770646673328,0.0015498282144223428,0.0018893674741273653,0.0008768689501609996
0.7,-13.9919,0.0030337474045609544,0.0005457359295367692,0.85,5.18528801924852,5.8,0.0013724871042357601,0.002020908765219454,0.0024721607776812433,0.0007467369827342991
0.7,-13.4965,0.002703393430541664,0.0004709092674675543,0.85,5.208291697466846,5.8,0.0014135862996113757,0.0015969366910206137,0.0019636491673395147,0.0006448313297745002
0.7,-12.9943,0.0031128148011674356,0.0004956834568888388,0.85,5.231507889097391,5.8,0.0014544928292334535,0.0019965821245856636,0.0024657472161157402,0.0006786828997718707
0.7,-12.485,0.0033413035683996888,0.0004844306197234213,0.85,5.25494755371482,5.8,0.0014957718415602138,0.0021920976373689186,0.0027144301740329377,0.0006620792454471265
0.7,-11.9974,0.0032508372667029296,0.00046603134835391917,0.85,5.27729096316896,5.8,0.0015365739386640285,0.0020362546733014636,0.002537546840959896,0.0006382841480873265
0.7,-11.474,0.0026753709650061703,0.0004874652910428864,0.85,5.301170047080513,5.8,0.0015836954679046011,0.0013434227832032784,0.0016812645681426245,0.0006674570236334793
0.7,-11.0025,0.003284792335631942,0.0004962045558214542,0.85,5.322589574982941,5.8,0.0016303612021655808,0.0019490610467735217,0.0024529195047088125,0.0006804929286369978
0.7,-10.495,0.0038037474045609543,0.0004871629140106638,0.85,5.345548621431332,5.8,0.001685222928639726,0.0024418997502194274,0.0030806319330417896,0.0006668404125011318
0.7,-9.9807,0.004288056447509256,0.0005820941633080415,0.85,5.368715132031321,5.8,0.0017430753451117293,0.0028894534413697274,0.0036602014339675395,0.0007965997457713139
0.7,-9.4902,0.004016657542418979,0.0005351356761851623,0.85,5.390716825075825,5.8,0.001796235771114241,0.0025253812794534987,0.003212593772322263,0.0007324436806360172
0.7,-8.9934,0.004245146309651232,0.000524729575894574,0.85,5.412909949485062,5.8,0.0018461923539099857,0.0027025344539910873,0.0034504023821136046,0.0007178459269172009
0.7,-8.4901,0.004598056447509256,0.0005575245420224018,0.85,5.43530103972051,5.8,0.0018955810672372138,0.003010996728668094,0.003868755720703155,0.0007644153600771974
0.7,-7.9804,0.005243410421528546,0.0006028522054018064,0.85,5.457883237986026,5.8,0.0019495098244604913,0.003622573549035713,0.004670417856695435,0.0008259488133189352
0.7,-7.4965,0.0050039890509027745,0.000570117733728202,0.85,5.479236247739681,5.8,0.002007176135016471,0.0032897548938671333,0.004273585374936053,0.0007839734590916792
0.7,-6.9738,0.005386899188760798,0.0005996888505301482,0.85,5.502208282298462,5.8,0.0020762144103094937,0.0036022357122222045,0.004678283061246296,0.0008209776036835969
0.7,-6.4775,0.005450387955993052,0.000606277703154684,0.85,5.523931652749835,5.8,0.0021459037235996895,0.003576877102086849,0.004678698560935571,0.0008326688933012119
0.7,-5.9751,0.005765854257689811,0.0006035606523122304,0.85,5.545835357841605,5.8,0.002218597317435154,0.003811505009226099,0.005001987892871857,0.0008283770947721328
0.7,-5.5006,0.007233539740192896,0.0006888553302438242,0.85,5.566443532064787,5.8,0.0022905628030135904,0.005246481317068662,0.006898148874049476,0.000943718875025893
0.7,-4.986,0.006441208231709101,0.0006449671523574653,0.85,5.588707407518683,5.8,0.0023795562397766565,0.0043051751336447555,0.005688160607741431,0.0008843725308785158
0.7,-4.5,0.007641449878050922,0.0007097106122527107,0.85,5.609652788766719,5.8,0.0024845372621670305,0.005416202937199064,0.007200902189904764,0.0009755854062314589
0.7,-3.9729,0.00759191617974768,0.0007312502723563004,0.85,5.632281426494318,5.8,0.0026373169156954095,0.005180672014226355,0.00690899298967722,0.0010042419088100811
0.7,-3.4749,0.007625871248676693,0.0007508399991946076,0.85,5.653577579356471,5.8,0.002844491976800842,0.0049788822710076395,0.006650414427713483,0.0010288898681099666
0.7,-2.9711,0.010078444403502307,0.000823107689369871,0.85,5.675040442814105,5.8,0.0031701127653407644,0.007130250400234683,0.009564547966320905,0.0011284319116838136
0.7,-2.4979,0.011904506325560177,0.0009208407941123191,0.85,5.695126021374836,5.8,0.0036672627416723565,0.008456461374195564,0.011433019080671222,0.0012678896728763051
0.7,-2.0195,0.022748771004778536,0.0012627901689032876,0.85,5.715360566190447,5.8,0.004474969155232378,0.018610691023100263,0.025171219526314594,0.0017332344398988955
0.7,-1.4984,0.04423334529428623,0.0017531222867399102,0.85,5.737319960645979,5.8,0.005776465851877788,0.038940127342616836,0.05286082884883379,0.0024058455049580504
0.7,-0.971,0.10915230980915117,0.0027679713695311823,0.85,5.759459590440239,5.8,0.0073592144308049345,0.10256141040418683,0.139788177227607,0.0037992188303610334
0.7,-0.4756,0.18851973571850525,0.0035958343627724688,0.85,5.780178659631022,5.8,0.00855712728590648,0.18060907873533238,0.24711427323470495,0.004936790107267346
